pNN50,NN50,PPImed,SDNN,RMSSD,SD1/SD2,LF/HF,VLF,PRV_LF,PRV_HF,SD1,SD2,NumSCR,AmpSCR,mTL,sdAmpl,ctl25,ctl50,ctl75,ctl90,EDA_HF
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0.25714111328125,63.0,1.036102294921875,0.0762786865234375,0.0445556640625,3.261947631835937,0.678070068359375,-15.306777954101562,-21.67535400390625,-31.965972900390625,0.1029815673828125,0.0315704345703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.11866760253906
0.2427978515625,59.0,1.0290069580078125,0.106353759765625,0.07708740234375,2.29547119140625,0.6265716552734375,-12.435577392578123,-20.9468994140625,-33.43077087402344,0.12530517578125,0.0545806884765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.11866760253906
0.268768310546875,68.0,0.9943389892578125,0.0630340576171875,0.04730224609375,2.4692230224609375,0.667449951171875,-13.949798583984375,-20.353347778320312,-30.494110107421875,0.0827484130859375,0.03350830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9242401123046875
0.2983856201171875,74.0,0.994781494140625,0.0893707275390625,0.082000732421875,1.59783935546875,0.5957794189453125,-15.054412841796875,-18.846633911132812,-31.633041381835938,0.0927276611328125,0.0580291748046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6029205322265625
0.2868804931640625,70.0,0.9967041015625,0.128265380859375,0.123077392578125,1.3229827880859375,0.6578521728515625,-16.2786865234375,-20.043899536132812,-30.468124389648438,0.114776611328125,0.0867462158203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.574615478515625
